,symbol,metric,value
617,BRO,Volume,"1,393,144"
618,BRO,Avg. Volume,"1,515,377"
619,BF.B,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
620,CHRW,Previous Close,117.02
621,CHRW,Open,116.82
622,CHRW,Bid,0.00 x 900
623,CHRW,Ask,0.00 x 800
624,CHRW,Day's Range,116.82 - 119.26
625,CHRW,52 Week Range,85.80 - 119.26
626,CHRW,Volume,"1,140,570"
627,CHRW,Avg. Volume,"1,224,596"
628,CDNS,Previous Close,183.25
629,CDNS,Open,185.40
630,CDNS,Bid,0.00 x 800
631,CDNS,Ask,0.00 x 1000
632,CDNS,Day's Range,182.64 - 185.40
633,CDNS,52 Week Range,132.32 - 194.97
634,CDNS,Volume,"1,315,117"
635,CDNS,Avg. Volume,"1,553,303"
636,CZR,Previous Close,45.67
637,CZR,Open,45.29
638,CZR,Bid,0.00 x 800
639,CZR,Ask,0.00 x 1000
640,CZR,Day's Range,45.29 - 47.26
641,CZR,52 Week Range,35.10 - 119.81
642,CZR,Volume,"1,635,016"
643,CZR,Avg. Volume,"3,683,593"
644,CPT,Previous Close,136.04
645,CPT,Open,136.08
646,CPT,Bid,132.72 x 1000
647,CPT,Ask,139.88 x 800
648,CPT,Day's Range,135.65 - 137.25
649,CPT,52 Week Range,125.17 - 180.37
650,CPT,Volume,"638,611"
651,CPT,Avg. Volume,"764,753"
652,CPB,Previous Close,51.16
653,CPB,Open,51.28
654,CPB,Bid,0.00 x 800
655,CPB,Ask,51.60 x 1300
656,CPB,Day's Range,50.98 - 51.58
657,CPB,52 Week Range,39.76 - 51.94
658,CPB,Volume,"1,447,255"
659,CPB,Avg. Volume,"2,365,766"
660,COF,Previous Close,109.81
661,COF,Open,109.85
662,COF,Bid,109.53 x 1100
663,COF,Ask,0.00 x 900
664,COF,Day's Range,108.84 - 111.21
665,COF,52 Week Range,98.54 - 175.98
666,COF,Volume,"1,632,492"
667,COF,Avg. Volume,"2,621,504"
