,symbol,metric,value
2350,MA,52 Week Range,303.65 - 399.92
2351,MA,Volume,"2,160,155"
2352,MA,Avg. Volume,"2,725,727"
2353,MTCH,Previous Close,57.75
2354,MTCH,Open,57.99
2355,MTCH,Bid,0.00 x 800
2356,MTCH,Ask,0.00 x 1300
2357,MTCH,Day's Range,57.64 - 59.31
2358,MTCH,52 Week Range,57.55 - 182.00
2359,MTCH,Volume,"2,278,354"
2360,MTCH,Avg. Volume,"3,051,032"
2361,MKC,Previous Close,89.03
2362,MKC,Open,89.31
2363,MKC,Bid,0.00 x 800
2364,MKC,Ask,0.00 x 900
2365,MKC,Day's Range,88.43 - 89.36
2366,MKC,52 Week Range,77.85 - 107.35
2367,MKC,Volume,"820,217"
2368,MKC,Avg. Volume,"1,176,287"
2369,MCD,Previous Close,260.54
2370,MCD,Open,260.71
2371,MCD,Bid,0.00 x 800
2372,MCD,Ask,0.00 x 800
2373,MCD,Day's Range,259.86 - 262.00
2374,MCD,52 Week Range,217.68 - 271.15
2375,MCD,Volume,"1,654,838"
2376,MCD,Avg. Volume,"2,496,491"
2377,MCK,Previous Close,364.02
2378,MCK,Open,364.36
2379,MCK,Bid,0.00 x 800
2380,MCK,Ask,0.00 x 1000
2381,MCK,Day's Range,362.05 - 365.41
2382,MCK,52 Week Range,193.89 - 375.23
2383,MCK,Volume,"762,398"
2384,MCK,Avg. Volume,"1,050,687"
2385,MDT,Previous Close,90.22
2386,MDT,Open,89.47
2387,MDT,Bid,89.25 x 800
2388,MDT,Ask,0.00 x 800
2389,MDT,Day's Range,88.42 - 89.96
2390,MDT,52 Week Range,86.70 - 135.89
2391,MDT,Volume,"6,662,761"
2392,MDT,Avg. Volume,"5,780,670"
2393,MRK,Previous Close,90.20
2394,MRK,Open,90.20
2395,MRK,Bid,89.72 x 800
2396,MRK,Ask,91.08 x 800
2397,MRK,Day's Range,89.54 - 90.32
2398,MRK,52 Week Range,70.89 - 95.72
2399,MRK,Volume,"5,379,089"
2400,MRK,Avg. Volume,"10,301,420"
2401,META,Previous Close,161.11
2402,META,Open,160.60
2403,META,Bid,165.09 x 1000
2404,META,Ask,0.00 x 3000
2405,META,Day's Range,159.77 - 165.46
2406,META,52 Week Range,154.25 - 384.33
2407,META,Volume,"20,891,481"
2408,META,Avg. Volume,"28,642,379"
2409,MET,Previous Close,65.67
2410,MET,Open,65.49
2411,MET,Bid,66.10 x 800
2412,MET,Ask,0.00 x 800
2413,MET,Day's Range,65.24 - 66.25
2414,MET,52 Week Range,57.05 - 73.18
2415,MET,Volume,"2,410,857"
2416,MET,Avg. Volume,"4,294,769"
2417,MTD,Previous Close,"1,333.80"
2418,MTD,Open,"1,314.60"
2419,MTD,Bid,"1,312.22 x 800"
2420,MTD,Ask,"1,316.23 x 800"
2421,MTD,Day's Range,"1,312.22 - 1,327.76"
2422,MTD,52 Week Range,"1,082.78 - 1,714.75"
2423,MTD,Volume,"15,221"
2424,MTD,Avg. Volume,"123,956"
2425,MGM,Previous Close,34.30
2426,MGM,Open,34.31
2427,MGM,Bid,0.00 x 1100
2428,MGM,Ask,0.00 x 2200
2429,MGM,Day's Range,34.06 - 35.15
2430,MGM,52 Week Range,26.41 - 51.17
2431,MGM,Volume,"3,091,996"
2432,MGM,Avg. Volume,"5,191,225"
2433,MCHP,Previous Close,69.12
2434,MCHP,Open,68.73
2435,MCHP,Bid,67.40 x 800
2436,MCHP,Ask,0.00 x 900
2437,MCHP,Day's Range,67.76 - 69.03
2438,MCHP,52 Week Range,54.33 - 90.00
2439,MCHP,Volume,"4,729,916"
2440,MCHP,Avg. Volume,"4,649,579"
2441,MU,Previous Close,57.86
2442,MU,Open,57.88
2443,MU,Bid,0.00 x 1400
2444,MU,Ask,58.88 x 800
2445,MU,Day's Range,57.36 - 58.56
2446,MU,52 Week Range,51.40 - 98.45
2447,MU,Volume,"9,961,297"
2448,MU,Avg. Volume,"17,136,101"
2449,MSFT,Previous Close,276.44
2450,MSFT,Open,275.41
2451,MSFT,Bid,278.11 x 1200
2452,MSFT,Ask,0.00 x 1100
2453,MSFT,Day's Range,275.18 - 277.21
2454,MSFT,52 Week Range,241.51 - 349.67
2455,MSFT,Volume,"18,098,958"
2456,MSFT,Avg. Volume,"25,984,817"
2457,MAA,Previous Close,175.70
2458,MAA,Open,175.38
2459,MAA,Bid,0.00 x 800
2460,MAA,Ask,0.00 x 800
2461,MAA,Day's Range,175.33 - 177.87
2462,MAA,52 Week Range,158.85 - 231.63
2463,MAA,Volume,"640,001"
2464,MAA,Avg. Volume,"596,588"
2465,MRNA,Previous Close,143.78
2466,MRNA,Open,142.66
2467,MRNA,Bid,0.00 x 1300
2468,MRNA,Ask,0.00 x 800
2469,MRNA,Day's Range,140.65 - 144.22
2470,MRNA,52 Week Range,115.61 - 464.85
2471,MRNA,Volume,"3,486,365"
2472,MRNA,Avg. Volume,"5,098,543"
2473,MHK,Previous Close,112.97
2474,MHK,Open,112.90
2475,MHK,Bid,110.41 x 1200
2476,MHK,Ask,115.94 x 900
2477,MHK,Day's Range,111.36 - 114.17
2478,MHK,52 Week Range,111.36 - 204.55
2479,MHK,Volume,"358,127"
2480,MHK,Avg. Volume,"556,862"
2481,MOH,Previous Close,327.04
2482,MOH,Open,329.01
2483,MOH,Bid,328.84 x 800
2484,MOH,Ask,526.52 x 800
2485,MOH,Day's Range,324.63 - 330.51
2486,MOH,52 Week Range,244.75 - 350.19
2487,MOH,Volume,"252,442"
2488,MOH,Avg. Volume,"423,412"
2489,TAP,Previous Close,55.88
2490,TAP,Open,55.97
2491,TAP,Bid,0.00 x 800
2492,TAP,Ask,0.00 x 800
2493,TAP,Day's Range,55.62 - 56.72
2494,TAP,52 Week Range,42.46 - 60.12
2495,TAP,Volume,"869,442"
2496,TAP,Avg. Volume,"1,535,598"
2497,MDLZ,Previous Close,63.72
2498,MDLZ,Open,63.78
2499,MDLZ,Bid,63.60 x 1100
2500,MDLZ,Ask,0.00 x 1000
2501,MDLZ,Day's Range,63.59 - 64.68
2502,MDLZ,52 Week Range,57.63 - 69.47
2503,MDLZ,Volume,"5,911,147"
2504,MDLZ,Avg. Volume,"6,479,188"
2505,MPWR,Previous Close,497.51
2506,MPWR,Open,500.54
2507,MPWR,Bid,0.00 x 800
2508,MPWR,Ask,0.00 x 1000
2509,MPWR,Day's Range,492.37 - 500.54
2510,MPWR,52 Week Range,348.02 - 580.00
2511,MPWR,Volume,"262,222"
2512,MPWR,Avg. Volume,"468,227"
2513,MNST,Previous Close,90.16
2514,MNST,Open,90.00
2515,MNST,Bid,80.50 x 900
2516,MNST,Ask,0.00 x 800
2517,MNST,Day's Range,89.76 - 90.66
2518,MNST,52 Week Range,71.78 - 99.81
2519,MNST,Volume,"1,352,681"
2520,MNST,Avg. Volume,"2,795,259"
2521,MCO,Previous Close,298.60
2522,MCO,Open,298.71
2523,MCO,Bid,0.00 x 1000
2524,MCO,Ask,0.00 x 900
2525,MCO,Day's Range,298.49 - 301.65
2526,MCO,52 Week Range,251.01 - 407.94
2527,MCO,Volume,"457,436"
2528,MCO,Avg. Volume,"830,574"
2529,MS,Previous Close,88.30
2530,MS,Open,87.99
2531,MS,Bid,89.25 x 1200
2532,MS,Ask,90.40 x 900
2533,MS,Day's Range,87.81 - 89.04
2534,MS,52 Week Range,72.05 - 109.73
2535,MS,Volume,"4,932,595"
2536,MS,Avg. Volume,"7,633,022"
2537,MOS,Previous Close,57.25
2538,MOS,Open,57.80
2539,MOS,Bid,0.00 x 900
2540,MOS,Ask,61.49 x 800
2541,MOS,Day's Range,57.65 - 60.80
2542,MOS,52 Week Range,30.58 - 79.28
2543,MOS,Volume,"7,871,239"
2544,MOS,Avg. Volume,"6,250,646"
2545,MSI,Previous Close,246.17
2546,MSI,Open,247.00
2547,MSI,Bid,226.43 x 900
2548,MSI,Ask,0.00 x 800
2549,MSI,Day's Range,246.40 - 249.97
2550,MSI,52 Week Range,195.18 - 273.65
2551,MSI,Volume,"645,367"
2552,MSI,Avg. Volume,"708,603"
2553,MSCI,Previous Close,467.50
2554,MSCI,Open,468.87
2555,MSCI,Bid,461.25 x 800
2556,MSCI,Ask,501.94 x 800
2557,MSCI,Day's Range,466.64 - 472.56
2558,MSCI,52 Week Range,376.41 - 679.85
2559,MSCI,Volume,"188,747"
2560,MSCI,Avg. Volume,"436,220"
2561,NDAQ,Previous Close,184.32
2562,NDAQ,Open,184.45
2563,NDAQ,Bid,163.00 x 800
2564,NDAQ,Ask,196.98 x 900
2565,NDAQ,Day's Range,184.32 - 186.65
2566,NDAQ,52 Week Range,140.31 - 214.96
2567,NDAQ,Volume,"692,502"
2568,NDAQ,Avg. Volume,"870,582"
2569,NTAP,Previous Close,73.28
2570,NTAP,Open,73.26
2571,NTAP,Bid,0.00 x 1100
2572,NTAP,Ask,0.00 x 800
2573,NTAP,Day's Range,72.64 - 73.98
2574,NTAP,52 Week Range,61.26 - 96.82
2575,NTAP,Volume,"1,561,222"
2576,NTAP,Avg. Volume,"1,533,712"
2577,NFLX,Previous Close,224.55
2578,NFLX,Open,225.66
2579,NFLX,Bid,0.00 x 1000
2580,NFLX,Ask,0.00 x 1100
2581,NFLX,Day's Range,223.94 - 234.08
2582,NFLX,52 Week Range,162.71 - 700.99
2583,NFLX,Volume,"5,426,316"
2584,NFLX,Avg. Volume,"9,875,895"
2585,NWL,Previous Close,20.77
2586,NWL,Open,20.70
2587,NWL,Bid,0.00 x 1300
2588,NWL,Ask,0.00 x 900
2589,NWL,Day's Range,19.91 - 20.70
2590,NWL,52 Week Range,17.40 - 26.45
2591,NWL,Volume,"2,404,683"
2592,NWL,Avg. Volume,"3,082,248"
2593,NEM,Previous Close,44.55
2594,NEM,Open,44.25
2595,NEM,Bid,0.00 x 1100
2596,NEM,Ask,45.16 x 1800
2597,NEM,Day's Range,43.81 - 44.90
2598,NEM,52 Week Range,42.88 - 86.37
2599,NEM,Volume,"6,886,726"
2600,NEM,Avg. Volume,"8,390,732"
2601,NWSA,Previous Close,17.90
2602,NWSA,Open,17.62
2603,NWSA,Bid,15.02 x 1400
2604,NWSA,Ask,20.43 x 900
2605,NWSA,Day's Range,17.43 - 17.79
2606,NWSA,52 Week Range,14.95 - 25.87
2607,NWSA,Volume,"1,604,507"
2608,NWSA,Avg. Volume,"2,888,930"
2609,NWS,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
2610,NEE,Previous Close,87.98
2611,NEE,Open,88.15
2612,NEE,Bid,87.75 x 800
2613,NEE,Ask,89.64 x 800
2614,NEE,Day's Range,87.96 - 88.78
2615,NEE,52 Week Range,67.22 - 93.73
2616,NEE,Volume,"4,786,523"
2617,NEE,Avg. Volume,"8,383,459"
2618,NLSN,Previous Close,27.65
2619,NLSN,Open,27.77
2620,NLSN,Bid,27.79 x 4000
2621,NLSN,Ask,27.81 x 1300
2622,NLSN,Day's Range,27.75 - 27.82
2623,NLSN,52 Week Range,16.02 - 27.82
2624,NLSN,Volume,"5,986,735"
2625,NLSN,Avg. Volume,"3,458,435"
2626,NKE,Previous Close,110.68
2627,NKE,Open,110.68
2628,NKE,Bid,0.00 x 800
2629,NKE,Ask,0.00 x 800
2630,NKE,Day's Range,110.02 - 112.43
2631,NKE,52 Week Range,99.53 - 179.10
2632,NKE,Volume,"4,235,911"
2633,NKE,Avg. Volume,"6,967,072"
2634,NI,Previous Close,30.77
2635,NI,Open,30.71
2636,NI,Bid,30.32 x 2200
2637,NI,Ask,30.97 x 1100
2638,NI,Day's Range,30.61 - 31.03
2639,NI,52 Week Range,23.65 - 32.59
2640,NI,Volume,"1,919,160"
2641,NI,Avg. Volume,"3,927,625"
2642,NDSN,Previous Close,239.17
2643,NDSN,Open,239.17
2644,NDSN,Bid,0.00 x 900
2645,NDSN,Ask,255.73 x 800
2646,NDSN,Day's Range,237.93 - 241.05
2647,NDSN,52 Week Range,194.89 - 272.28
2648,NDSN,Volume,"337,119"
2649,NDSN,Avg. Volume,"219,720"
2650,NSC,Previous Close,258.30
2651,NSC,Open,258.25
2652,NSC,Bid,0.00 x 900
2653,NSC,Ask,0.00 x 1000
2654,NSC,Day's Range,257.87 - 261.05
2655,NSC,52 Week Range,217.00 - 299.20
2656,NSC,Volume,"1,133,659"
2657,NSC,Avg. Volume,"1,166,254"
2658,NTRS,Previous Close,100.56
2659,NTRS,Open,99.33
2660,NTRS,Bid,98.18 x 1000
2661,NTRS,Ask,98.23 x 800
2662,NTRS,Day's Range,97.99 - 99.33
2663,NTRS,52 Week Range,89.68 - 135.15
2664,NTRS,Volume,"613,550"
2665,NTRS,Avg. Volume,"908,679"
2666,NOC,Previous Close,482.88
2667,NOC,Open,485.20
2668,NOC,Bid,439.92 x 800
2669,NOC,Ask,538.76 x 800
2670,NOC,Day's Range,484.58 - 490.30
2671,NOC,52 Week Range,344.89 - 497.20
2672,NOC,Volume,"561,114"
2673,NOC,Avg. Volume,"779,803"
2674,NLOK,Previous Close,23.54
2675,NLOK,Open,23.42
2676,NLOK,Bid,22.70 x 1300
2677,NLOK,Ask,23.20 x 2200
2678,NLOK,Day's Range,23.18 - 23.50
2679,NLOK,52 Week Range,21.55 - 30.92
2680,NLOK,Volume,"3,439,667"
2681,NLOK,Avg. Volume,"6,546,993"
2682,NCLH,Previous Close,12.85
2683,NCLH,Open,12.93
2684,NCLH,Bid,0.00 x 1200
2685,NCLH,Ask,14.36 x 1100
2686,NCLH,Day's Range,12.89 - 14.04
2687,NCLH,52 Week Range,10.31 - 29.45
2688,NCLH,Volume,"23,286,254"
2689,NCLH,Avg. Volume,"21,287,488"
2690,NRG,Previous Close,41.89
2691,NRG,Open,41.82
2692,NRG,Bid,36.23 x 900
2693,NRG,Ask,0.00 x 900
2694,NRG,Day's Range,41.46 - 42.01
2695,NRG,52 Week Range,34.70 - 47.82
2696,NRG,Volume,"1,169,389"
2697,NRG,Avg. Volume,"3,312,988"
2698,NUE,Previous Close,137.46
2699,NUE,Open,135.90
2700,NUE,Bid,130.00 x 800
2701,NUE,Ask,0.00 x 900
2702,NUE,Day's Range,135.30 - 139.08
2703,NUE,52 Week Range,88.50 - 187.90
2704,NUE,Volume,"1,083,787"
2705,NUE,Avg. Volume,"2,201,864"
2706,NVDA,Previous Close,171.81
2707,NVDA,Open,170.12
2708,NVDA,Bid,167.00 x 1000
2709,NVDA,Ask,167.13 x 1200
2710,NVDA,Day's Range,168.96 - 174.06
2711,NVDA,52 Week Range,140.55 - 346.47
2712,NVDA,Volume,"49,524,935"
2713,NVDA,Avg. Volume,"52,324,867"
2714,NVR,Previous Close,"4,200.91"
2715,NVR,Open,"4,177.60"
2716,NVR,Bid,0.00 x 1200
2717,NVR,Ask,0.00 x 800
2718,NVR,Day's Range,"4,177.60 - 4,330.00"
2719,NVR,52 Week Range,"3,576.01 - 5,982.45"
2720,NVR,Volume,"15,654"
2721,NVR,Avg. Volume,"18,474"
2722,NXPI,Previous Close,173.94
2723,NXPI,Open,174.26
2724,NXPI,Bid,170.76 x 1100
2725,NXPI,Ask,197.93 x 1200
2726,NXPI,Day's Range,170.36 - 174.26
2727,NXPI,52 Week Range,140.33 - 239.91
2728,NXPI,Volume,"1,237,991"
2729,NXPI,Avg. Volume,"2,866,917"
2730,ORLY,Previous Close,720.09
2731,ORLY,Open,715.00
2732,ORLY,Bid,616.57 x 900
2733,ORLY,Ask,0.00 x 800
2734,ORLY,Day's Range,709.37 - 717.76
2735,ORLY,52 Week Range,562.90 - 750.88
2736,ORLY,Volume,"524,407"
2737,ORLY,Avg. Volume,"492,293"
2738,OXY,Previous Close,73.79
2739,OXY,Open,74.15
2740,OXY,Bid,0.00 x 800
2741,OXY,Ask,75.43 x 800
2742,OXY,Day's Range,73.08 - 75.69
2743,OXY,52 Week Range,23.91 - 75.69
2744,OXY,Volume,"39,452,158"
2745,OXY,Avg. Volume,"27,384,291"
2746,ODFL,Previous Close,297.04
2747,ODFL,Open,292.54
2748,ODFL,Bid,290.95 x 1000
2749,ODFL,Ask,291.37 x 1000
2750,ODFL,Day's Range,289.94 - 294.96
2751,ODFL,52 Week Range,231.31 - 373.58
2752,ODFL,Volume,"692,716"
2753,ODFL,Avg. Volume,"865,185"
2754,OMC,Previous Close,69.76
2755,OMC,Open,69.76
2756,OMC,Bid,69.91 x 900
2757,OMC,Ask,69.95 x 800
2758,OMC,Day's Range,69.68 - 70.34
2759,OMC,52 Week Range,61.31 - 91.61
2760,OMC,Volume,"273,172"
2761,OMC,Avg. Volume,"1,562,953"
2762,ON,Previous Close,71.25
2763,ON,Open,70.91
2764,ON,Bid,0.00 x 1000
2765,ON,Ask,0.00 x 900
2766,ON,Day's Range,70.43 - 72.26
2767,ON,52 Week Range,41.88 - 75.26
2768,ON,Volume,"4,300,047"
2769,ON,Avg. Volume,"9,685,204"
2770,OKE,Previous Close,64.80
2771,OKE,Open,64.91
2772,OKE,Bid,64.61 x 800
2773,OKE,Ask,70.84 x 900
2774,OKE,Day's Range,64.66 - 66.28
2775,OKE,52 Week Range,51.70 - 75.07
2776,OKE,Volume,"2,376,871"
2777,OKE,Avg. Volume,"2,728,375"
2778,ORCL,Previous Close,76.41
2779,ORCL,Open,76.47
2780,ORCL,Bid,0.00 x 800
2781,ORCL,Ask,77.40 x 800
2782,ORCL,Day's Range,76.05 - 76.56
2783,ORCL,52 Week Range,63.76 - 106.34
2784,ORCL,Volume,"3,498,279"
2785,ORCL,Avg. Volume,"7,531,809"
2786,OGN,Previous Close,29.92
2787,OGN,Open,29.88
2788,OGN,Bid,0.00 x 900
2789,OGN,Ask,0.00 x 800
2790,OGN,Day's Range,29.59 - 30.47
2791,OGN,52 Week Range,28.50 - 39.47
2792,OGN,Volume,"1,155,391"
2793,OGN,Avg. Volume,"1,490,430"
2794,OTIS,Previous Close,80.41
2795,OTIS,Open,80.03
2796,OTIS,Bid,76.28 x 1000
2797,OTIS,Ask,79.77 x 900
2798,OTIS,Day's Range,78.99 - 80.20
2799,OTIS,52 Week Range,66.97 - 92.84
2800,OTIS,Volume,"1,212,521"
2801,OTIS,Avg. Volume,"2,345,046"
2802,PCAR,Previous Close,93.03
2803,PCAR,Open,92.19
2804,PCAR,Bid,89.13 x 900
2805,PCAR,Ask,91.81 x 1400
2806,PCAR,Day's Range,90.32 - 92.19
2807,PCAR,52 Week Range,77.00 - 97.56
2808,PCAR,Volume,"1,281,931"
2809,PCAR,Avg. Volume,"1,861,711"
2810,PKG,Previous Close,140.41
2811,PKG,Open,140.59
2812,PKG,Bid,141.02 x 900
2813,PKG,Ask,141.12 x 1000
2814,PKG,Day's Range,140.40 - 142.09
2815,PKG,52 Week Range,124.78 - 168.50
2816,PKG,Volume,"167,504"
2817,PKG,Avg. Volume,"656,133"
2818,PARA,Previous Close,24.50
2819,PARA,Open,24.50
2820,PARA,Bid,0.00 x 3100
2821,PARA,Ask,0.00 x 1800
2822,PARA,Day's Range,24.41 - 25.27
2823,PARA,52 Week Range,23.15 - 42.17
2824,PARA,Volume,"6,250,579"
2825,PARA,Avg. Volume,"9,091,533"
2826,PH,Previous Close,285.56
2827,PH,Open,284.72
2828,PH,Bid,0.00 x 800
2829,PH,Ask,0.00 x 800
2830,PH,Day's Range,283.07 - 288.27
2831,PH,52 Week Range,230.44 - 340.00
2832,PH,Volume,"468,527"
2833,PH,Avg. Volume,"747,095"
2834,PAYX,Previous Close,135.00
2835,PAYX,Open,134.91
2836,PAYX,Bid,133.16 x 800
2837,PAYX,Ask,0.00 x 800
2838,PAYX,Day's Range,134.66 - 135.92
2839,PAYX,52 Week Range,106.55 - 141.92
2840,PAYX,Volume,"1,139,366"
2841,PAYX,Avg. Volume,"1,629,956"
2842,PAYC,Previous Close,368.69
2843,PAYC,Open,372.13
2844,PAYC,Bid,342.12 x 900
2845,PAYC,Ask,0.00 x 800
2846,PAYC,Day's Range,371.02 - 378.23
2847,PAYC,52 Week Range,255.82 - 558.97
2848,PAYC,Volume,"219,696"
2849,PAYC,Avg. Volume,"399,501"
2850,PYPL,Previous Close,93.20
2851,PYPL,Open,93.12
2852,PYPL,Bid,0.00 x 800
2853,PYPL,Ask,95.26 x 900
2854,PYPL,Day's Range,93.02 - 95.77
2855,PYPL,52 Week Range,67.58 - 296.70
2856,PYPL,Volume,"8,957,716"
2857,PYPL,Avg. Volume,"14,854,804"
2858,PENN,Previous Close,33.11
2859,PENN,Open,33.07
2860,PENN,Bid,30.44 x 800
2861,PENN,Ask,0.00 x 800
2862,PENN,Day's Range,33.05 - 34.67
2863,PENN,52 Week Range,26.46 - 86.40
2864,PENN,Volume,"1,708,370"
2865,PENN,Avg. Volume,"3,350,153"
2866,PNR,Previous Close,47.81
2867,PNR,Open,47.74
2868,PNR,Bid,48.02 x 800
2869,PNR,Ask,48.04 x 800
2870,PNR,Day's Range,47.75 - 48.43
2871,PNR,52 Week Range,43.60 - 80.10
2872,PNR,Volume,"198,759"
2873,PNR,Avg. Volume,"1,329,350"
2874,PEP,Previous Close,178.37
2875,PEP,Open,178.37
2876,PEP,Bid,179.36 x 1300
2877,PEP,Ask,180.96 x 900
2878,PEP,Day's Range,178.20 - 179.49
2879,PEP,52 Week Range,149.48 - 181.07
2880,PEP,Volume,"3,340,557"
2881,PEP,Avg. Volume,"4,477,188"
2882,PKI,Previous Close,145.13
2883,PKI,Open,143.09
2884,PKI,Bid,141.75 x 800
2885,PKI,Ask,150.67 x 1100
2886,PKI,Day's Range,141.10 - 143.80
2887,PKI,52 Week Range,130.65 - 203.16
2888,PKI,Volume,"420,163"
2889,PKI,Avg. Volume,"728,890"
2890,PFE,Previous Close,48.01
2891,PFE,Open,47.90
2892,PFE,Bid,0.00 x 3200
2893,PFE,Ask,0.00 x 3100
2894,PFE,Day's Range,47.38 - 48.01
2895,PFE,52 Week Range,40.94 - 61.71
2896,PFE,Volume,"15,135,481"
2897,PFE,Avg. Volume,"19,760,356"
2898,PM,Previous Close,97.80
2899,PM,Open,97.46
2900,PM,Bid,0.00 x 800
2901,PM,Ask,99.99 x 1000
2902,PM,Day's Range,97.06 - 97.93
2903,PM,52 Week Range,85.64 - 112.48
2904,PM,Volume,"2,356,698"
2905,PM,Avg. Volume,"4,832,682"
2906,PSX,Previous Close,91.41
2907,PSX,Open,91.41
2908,PSX,Bid,92.53 x 800
2909,PSX,Ask,0.00 x 1000
2910,PSX,Day's Range,90.89 - 92.70
2911,PSX,52 Week Range,63.19 - 111.28
2912,PSX,Volume,"3,149,011"
2913,PSX,Avg. Volume,"3,727,137"
2914,PNW,Previous Close,77.96
2915,PNW,Open,77.39
2916,PNW,Bid,0.00 x 800
2917,PNW,Ask,78.97 x 1400
2918,PNW,Day's Range,76.43 - 77.57
2919,PNW,52 Week Range,62.78 - 80.51
2920,PNW,Volume,"699,338"
2921,PNW,Avg. Volume,"811,259"
2922,PXD,Previous Close,251.77
2923,PXD,Open,252.86
2924,PXD,Bid,248.02 x 800
2925,PXD,Ask,0.00 x 1400
2926,PXD,Day's Range,250.20 - 257.67
2927,PXD,52 Week Range,143.63 - 288.46
2928,PXD,Volume,"2,418,895"
2929,PXD,Avg. Volume,"2,692,711"
2930,PNC,Previous Close,166.49
2931,PNC,Open,165.88
2932,PNC,Bid,0.00 x 1000
2933,PNC,Ask,0.00 x 800
2934,PNC,Day's Range,165.32 - 167.67
2935,PNC,52 Week Range,146.39 - 228.14
2936,PNC,Volume,"1,356,468"
2937,PNC,Avg. Volume,"1,834,829"
2938,POOL,Previous Close,360.63
2939,POOL,Open,360.95
2940,POOL,Bid,0.00 x 900
2941,POOL,Ask,0.00 x 800
2942,POOL,Day's Range,358.43 - 366.27
2943,POOL,52 Week Range,324.14 - 582.27
2944,POOL,Volume,"324,539"
2945,POOL,Avg. Volume,"435,856"
2946,PPG,Previous Close,127.65
2947,PPG,Open,127.47
2948,PPG,Bid,0.00 x 800
2949,PPG,Ask,0.00 x 900
2950,PPG,Day's Range,126.72 - 128.71
2951,PPG,52 Week Range,107.06 - 177.32
2952,PPG,Volume,"739,064"
2953,PPG,Avg. Volume,"1,350,364"
2954,PPL,Previous Close,30.23
2955,PPL,Open,30.23
2956,PPL,Bid,0.00 x 2200
2957,PPL,Ask,0.00 x 3100
2958,PPL,Day's Range,30.07 - 30.34
2959,PPL,52 Week Range,24.98 - 30.99
2960,PPL,Volume,"3,671,869"
2961,PPL,Avg. Volume,"5,410,459"
2962,PFG,Previous Close,76.10
2963,PFG,Open,75.72
2964,PFG,Bid,0.00 x 1100
2965,PFG,Ask,0.00 x 800
2966,PFG,Day's Range,75.57 - 77.06
2967,PFG,52 Week Range,60.97 - 80.36
2968,PFG,Volume,"1,336,570"
2969,PFG,Avg. Volume,"1,515,441"
2970,PG,Previous Close,146.45
2971,PG,Open,146.61
2972,PG,Bid,144.40 x 1800
2973,PG,Ask,148.00 x 1300
2974,PG,Day's Range,145.12 - 147.26
2975,PG,52 Week Range,129.50 - 165.35
2976,PG,Volume,"5,658,294"
2977,PG,Avg. Volume,"6,957,950"
2978,PGR,Previous Close,124.40
2979,PGR,Open,124.10
2980,PGR,Bid,123.33 x 800
2981,PGR,Ask,126.53 x 900
2982,PGR,Day's Range,123.78 - 125.76
2983,PGR,52 Week Range,89.35 - 128.58
2984,PGR,Volume,"1,532,844"
2985,PGR,Avg. Volume,"2,858,603"
2986,PLD,Previous Close,128.46
2987,PLD,Open,129.24
2988,PLD,Bid,0.00 x 800
2989,PLD,Ask,0.00 x 900
2990,PLD,Day's Range,129.07 - 131.63
2991,PLD,52 Week Range,106.46 - 174.54
2992,PLD,Volume,"2,572,170"
2993,PLD,Avg. Volume,"3,679,588"
2994,PRU,Previous Close,99.33
2995,PRU,Open,99.08
2996,PRU,Bid,98.37 x 1300
2997,PRU,Ask,108.17 x 900
2998,PRU,Day's Range,98.65 - 99.78
2999,PRU,52 Week Range,89.73 - 124.22
3000,PRU,Volume,"881,092"
3001,PRU,Avg. Volume,"1,738,675"
3002,PEG,Previous Close,67.38
3003,PEG,Open,67.41
3004,PEG,Bid,39.00 x 900
3005,PEG,Ask,0.00 x 800
3006,PEG,Day's Range,66.89 - 67.64
3007,PEG,52 Week Range,58.19 - 75.61
3008,PEG,Volume,"1,640,991"
3009,PEG,Avg. Volume,"2,639,674"
3010,PTC,Previous Close,119.33
3011,PTC,Open,118.87
3012,PTC,Bid,115.43 x 1100
3013,PTC,Ask,122.78 x 1200
3014,PTC,Day's Range,117.81 - 120.06
3015,PTC,52 Week Range,96.55 - 137.67
3016,PTC,Volume,"706,298"
3017,PTC,Avg. Volume,"705,998"
3018,PSA,Previous Close,341.09
3019,PSA,Open,341.14
3020,PSA,Bid,0.00 x 900
3021,PSA,Ask,348.02 x 1100
3022,PSA,Day's Range,341.14 - 346.48
3023,PSA,52 Week Range,292.32 - 421.76
3024,PSA,Volume,"675,742"
3025,PSA,Avg. Volume,"690,538"
3026,PHM,Previous Close,41.15
3027,PHM,Open,40.82
3028,PHM,Bid,42.22 x 1200
3029,PHM,Ask,0.00 x 800
3030,PHM,Day's Range,40.63 - 42.52
3031,PHM,52 Week Range,35.03 - 58.09
3032,PHM,Volume,"1,785,726"
3033,PHM,Avg. Volume,"2,399,908"
3034,PVH,Previous Close,65.44
3035,PVH,Open,65.21
3036,PVH,Bid,0.00 x 1000
3037,PVH,Ask,0.00 x 900
3038,PVH,Day's Range,64.15 - 66.36
3039,PVH,52 Week Range,54.57 - 125.42
3040,PVH,Volume,"650,320"
3041,PVH,Avg. Volume,"1,216,104"
3042,QRVO,Previous Close,98.72
3043,QRVO,Open,98.54
3044,QRVO,Bid,90.90 x 900
3045,QRVO,Ask,0.00 x 800
3046,QRVO,Day's Range,97.39 - 98.80
3047,QRVO,52 Week Range,90.16 - 192.92
3048,QRVO,Volume,"665,974"
